"","type","site_ID","year","count"
"1","Soil","BONA",2023,10
"2","Soil","BONA",2024,20
"3","Soil","CLBJ",2023,9
"4","Soil","CLBJ",2024,8
"5","Soil","CPER",2023,10
"6","Soil","CPER",2024,10
"7","Soil","DCFS",2023,12
"8","Soil","DEJU",2023,18
"9","Soil","DELA",2024,10
"10","Soil","DSNY",2023,6
"11","Soil","GUAN",2023,10
"12","Soil","GUAN",2024,10
"13","Soil","HARV",2023,10
"14","Soil","HARV",2024,15
"15","Soil","JERC",2024,10
"16","Soil","KONA",2024,10
"17","Soil","KONZ",2023,7
"18","Soil","KONZ",2024,9
"19","Soil","LENO",2023,9
"20","Soil","MLBS",2023,13
"21","Soil","NIWO",2023,13
"22","Soil","NIWO",2024,16
"23","Soil","OAES",2023,8
"24","Soil","ONAQ",2023,9
"25","Soil","ONAQ",2024,10
"26","Soil","ORNL",2023,10
"27","Soil","ORNL",2024,10
"28","Soil","OSBS",2023,9
"29","Soil","OSBS",2024,9
"30","Soil","PUUM",2023,10
"31","Soil","PUUM",2024,10
"32","Soil","SCBI",2023,8
"33","Soil","SCBI",2024,10
"34","Soil","SJER",2020,2
"35","Soil","SJER",2023,10
"36","Soil","SJER",2024,8
"37","Soil","SOAP",2024,9
"38","Soil","SRER",2023,6
"39","Soil","SRER",2024,6
"40","Soil","TALL",2023,9
"41","Soil","TALL",2024,10
"42","Soil","TOOL",2023,9
"43","Soil","TOOL",2024,16
"44","Soil","UKFS",2023,10
"45","Soil","UNDE",2023,12
"46","Soil","UNDE",2024,15
"47","Soil","WOOD",2023,11
"48","Soil","WOOD",2024,9
"49","Soil","WREF",2023,7
"50","Soil","WREF",2024,8
"51","Soil","YELL",2023,10
"52","Soil","YELL",2024,11
